Gm,Tm,H_A,Opp,Result,R,RA,Inn,GB,D/N,Orig_Scheduled,Year,home_team,away_team,home_score,away_score,month,day,date
129,CHW,H,DET,W,7,1,NA,21.0,D,NA,2017,CHW,DET,7,1,8,27,2017-08-27
130,CHW,A,MIN,L,4,6,NA,22.0,N,NA,2017,MIN,CHW,6,4,8,29,2017-08-29
131,CHW,A,MIN,L,1,11,NA,23.5,N,NA,2017,MIN,CHW,11,1,8,30,2017-08-30
132,CHW,A,MIN,L-wo,4,5,NA,24.0,D,NA,2017,MIN,CHW,5,4,8,31,2017-08-31
133,CHW,H,TBR,L,1,3,NA,25.5,N,NA,2017,CHW,TBR,1,3,9,1,2017-09-01
134,CHW,H,TBR,W,5,4,NA,25.5,N,NA,2017,CHW,TBR,5,4,9,2,2017-09-02
135,CHW,H,TBR,W,6,2,NA,25.5,D,NA,2017,CHW,TBR,6,2,9,3,2017-09-03
136,CHW,H,CLE,L,3,5,NA,26.5,D,NA,2017,CHW,CLE,3,5,9,4,2017-09-04
137,CHW,H,CLE,L,4,9,NA,27.5,N,NA,2017,CHW,CLE,4,9,9,5,2017-09-05
138,CHW,H,CLE,L,1,5,NA,28.5,N,NA,2017,CHW,CLE,1,5,9,6,2017-09-06
139,CHW,H,CLE,L,2,11,NA,29.5,N,NA,2017,CHW,CLE,2,11,9,7,2017-09-07
140,CHW,H,SFG,L,2,9,NA,30.5,N,NA,2017,CHW,SFG,2,9,9,8,2017-09-08
141,CHW,H,SFG,W,13,1,NA,30.5,N,NA,2017,CHW,SFG,13,1,9,9,2017-09-09
142,CHW,H,SFG,W,8,1,NA,30.5,D,NA,2017,CHW,SFG,8,1,9,10,2017-09-10
143,CHW,A,KCR,W,11,3,NA,30.5,N,NA,2017,KCR,CHW,3,11,9,11,2017-09-11
144,CHW,A,KCR,L,3,4,NA,31.5,D,NA,2017,KCR,CHW,4,3,9,12,2017-09-12
145,CHW,A,KCR,W,5,3,NA,31.5,D,NA,2017,KCR,CHW,3,5,9,13,2017-09-13
146,CHW,A,DET,W,17,7,NA,31.5,D,NA,2017,DET,CHW,7,17,9,14,2017-09-14
147,CHW,A,DET,L-wo,2,3,NA,31.5,N,NA,2017,DET,CHW,3,2,9,15,2017-09-15
148,CHW,A,DET,W,10,4,NA,31.5,N,NA,2017,DET,CHW,4,10,9,16,2017-09-16
149,CHW,A,DET,L,0,12,NA,32.5,D,NA,2017,DET,CHW,12,0,9,17,2017-09-17
150,CHW,A,HOU,L,1,3,NA,33.5,N,NA,2017,HOU,CHW,3,1,9,19,2017-09-19
151,CHW,A,HOU,L,3,4,NA,34.5,N,NA,2017,HOU,CHW,4,3,9,20,2017-09-20
152,CHW,A,HOU,W,3,1,NA,34.5,N,NA,2017,HOU,CHW,1,3,9,21,2017-09-21
153,CHW,H,KCR,W,7,6,NA,33.5,N,NA,2017,CHW,KCR,7,6,9,22,2017-09-22
154,CHW,H,KCR,L,2,8,NA,34.5,N,NA,2017,CHW,KCR,2,8,9,23,2017-09-23
155,CHW,H,KCR,W,8,1,NA,34.5,D,NA,2017,CHW,KCR,8,1,9,24,2017-09-24
156,CHW,H,LAA,W,4,2,NA,34.0,N,NA,2017,CHW,LAA,4,2,9,25,2017-09-25
157,CHW,H,LAA,L,3,9,NA,34.0,N,NA,2017,CHW,LAA,3,9,9,26,2017-09-26
158,CHW,H,LAA,W-wo,6,4,10,34.0,N,NA,2017,CHW,LAA,6,4,9,27,2017-09-27
159,CHW,H,LAA,W,5,4,NA,34.0,N,NA,2017,CHW,LAA,5,4,9,28,2017-09-28
160,CHW,A,CLE,L,1,10,NA,35.0,N,NA,2017,CLE,CHW,10,1,9,29,2017-09-29
161,CHW,A,CLE,W,2,1,NA,34.0,N,NA,2017,CLE,CHW,1,2,9,30,2017-09-30
162,CHW,A,CLE,L,1,3,NA,35.0,D,NA,2017,CLE,CHW,3,1,10,1,2017-10-01
1,LAA,A,OAK,L-wo,5,6,11,1.0,D,NA,2018,OAK,LAA,6,5,3,29,2018-03-29
2,LAA,A,OAK,W,2,1,NA,0.5,N,NA,2018,OAK,LAA,1,2,3,30,2018-03-30
3,LAA,A,OAK,W,8,3,NA,Tied,D,NA,2018,OAK,LAA,3,8,3,31,2018-03-31
4,LAA,A,OAK,W,7,4,NA,Tied,D,NA,2018,OAK,LAA,4,7,4,1,2018-04-01
5,LAA,H,CLE,L,0,6,NA,1.0,N,NA,2018,LAA,CLE,0,6,4,2,2018-04-02
6,LAA,H,CLE,W,13,2,NA,1.0,N,NA,2018,LAA,CLE,13,2,4,3,2018-04-03
7,LAA,H,CLE,W-wo,3,2,13,1.0,D,NA,2018,LAA,CLE,3,2,4,4,2018-04-04
8,LAA,H,OAK,W,13,9,NA,Tied,N,NA,2018,LAA,OAK,13,9,4,6,2018-04-06
9,LAA,H,OAK,L,3,7,NA,1.0,N,NA,2018,LAA,OAK,3,7,4,7,2018-04-07
10,LAA,H,OAK,W,6,1,NA,1.0,D,NA,2018,LAA,OAK,6,1,4,8,2018-04-08
11,LAA,A,TEX,W,8,3,NA,1.0,N,NA,2018,TEX,LAA,3,8,4,9,2018-04-09
12,LAA,A,TEX,W,11,1,NA,Tied,N,NA,2018,TEX,LAA,1,11,4,10,2018-04-10
13,LAA,A,TEX,W,7,2,NA,up 1.0,N,NA,2018,TEX,LAA,2,7,4,11,2018-04-11
14,LAA,A,KCR,W,7,1,NA,up 1.5,N,NA,2018,KCR,LAA,1,7,4,12,2018-04-12
15,LAA,A,KCR,W,5,4,NA,up 1.5,N,NA,2018,KCR,LAA,4,5,4,13,2018-04-13
16,LAA,A,KCR,W,5,3,NA,up 2.5,N,NA,2018,KCR,LAA,3,5,4,14,2018-04-14
17,LAA,H,BOS,L,1,10,NA,up 2.5,N,NA,2018,LAA,BOS,1,10,4,17,2018-04-17
18,LAA,H,BOS,L,0,9,NA,up 1.5,N,NA,2018,LAA,BOS,0,9,4,18,2018-04-18
19,LAA,H,BOS,L,2,8,NA,up 0.5,N,NA,2018,LAA,BOS,2,8,4,19,2018-04-19
20,LAA,H,SFG,L,1,8,NA,0.5,N,NA,2018,LAA,SFG,1,8,4,20,2018-04-20
21,LAA,H,SFG,W,4,3,NA,0.5,N,NA,2018,LAA,SFG,4,3,4,21,2018-04-21
22,LAA,H,SFG,L,2,4,NA,1.5,D,NA,2018,LAA,SFG,2,4,4,22,2018-04-22
23,LAA,A,HOU,W,2,0,NA,0.5,N,NA,2018,HOU,LAA,0,2,4,23,2018-04-23
24,LAA,A,HOU,W,8,7,NA,up 0.5,N,NA,2018,HOU,LAA,7,8,4,24,2018-04-24
25,LAA,A,HOU,L,2,5,NA,0.5,D,NA,2018,HOU,LAA,5,2,4,25,2018-04-25
26,LAA,H,NYY,L,3,4,10,0.5,N,NA,2018,LAA,NYY,3,4,4,27,2018-04-27
27,LAA,H,NYY,L,1,11,NA,1.5,N,NA,2018,LAA,NYY,1,11,4,28,2018-04-28
28,LAA,H,NYY,L,1,2,NA,2.5,N,NA,2018,LAA,NYY,1,2,4,29,2018-04-29
29,LAA,H,BAL,W-wo,3,2,NA,2.0,N,NA,2018,LAA,BAL,3,2,5,1,2018-05-01
30,LAA,H,BAL,W,10,7,NA,1.0,N,NA,2018,LAA,BAL,10,7,5,2,2018-05-02
31,LAA,H,BAL,W,12,3,NA,Tied,N,NA,2018,LAA,BAL,12,3,5,3,2018-05-03
32,LAA,A,SEA,W,5,0,NA,Tied,N,NA,2018,SEA,LAA,0,5,5,4,2018-05-04
33,LAA,A,SEA,L-wo,8,9,11,Tied,N,NA,2018,SEA,LAA,9,8,5,5,2018-05-05
34,LAA,A,SEA,W,8,2,NA,up 1.0,D,NA,2018,SEA,LAA,2,8,5,6,2018-05-06
35,LAA,A,COL,L,2,4,NA,0.5,N,NA,2018,COL,LAA,4,2,5,8,2018-05-08
36,LAA,A,COL,W,8,0,NA,0.5,D,NA,2018,COL,LAA,0,8,5,9,2018-05-09
37,LAA,H,MIN,W,7,4,NA,Tied,N,NA,2018,LAA,MIN,7,4,5,10,2018-05-10
38,LAA,H,MIN,L,4,5,NA,Tied,N,NA,2018,LAA,MIN,4,5,5,11,2018-05-11
39,LAA,H,MIN,L,3,5,12,1.0,N,NA,2018,LAA,MIN,3,5,5,12,2018-05-12
40,LAA,H,MIN,W-wo,2,1,NA,1.0,D,NA,2018,LAA,MIN,2,1,5,13,2018-05-13
41,LAA,H,HOU,W,2,1,NA,Tied,N,NA,2018,LAA,HOU,2,1,5,14,2018-05-14
42,LAA,H,HOU,L,3,5,NA,1.0,N,NA,2018,LAA,HOU,3,5,5,15,2018-05-15
43,LAA,H,HOU,L,0,2,NA,2.0,N,NA,2018,LAA,HOU,0,2,5,16,2018-05-16
44,LAA,H,TBR,L,1,7,NA,2.5,N,NA,2018,LAA,TBR,1,7,5,17,2018-05-17
45,LAA,H,TBR,L,3,8,NA,3.5,N,NA,2018,LAA,TBR,3,8,5,18,2018-05-18
46,LAA,H,TBR,L,3,5,NA,3.5,N,NA,2018,LAA,TBR,3,5,5,19,2018-05-19
47,LAA,H,TBR,W,5,2,NA,3.5,D,NA,2018,LAA,TBR,5,2,5,20,2018-05-20
48,LAA,A,TOR,L,3,5,NA,4.5,N,NA,2018,TOR,LAA,5,3,5,22,2018-05-22
49,LAA,A,TOR,W,5,4,NA,4.5,N,NA,2018,TOR,LAA,4,5,5,23,2018-05-23
50,LAA,A,TOR,W,8,1,NA,4.5,D,NA,2018,TOR,LAA,1,8,5,24,2018-05-24
51,LAA,A,NYY,L,1,2,NA,5.5,N,NA,2018,NYY,LAA,2,1,5,25,2018-05-25
52,LAA,A,NYY,W,11,4,NA,4.5,N,NA,2018,NYY,LAA,4,11,5,26,2018-05-26
53,LAA,A,NYY,L,1,3,NA,4.5,D,NA,2018,NYY,LAA,3,1,5,27,2018-05-27
54,LAA,A,DET,L,3,9,NA,5.5,D,NA,2018,DET,LAA,9,3,5,28,2018-05-28
55,LAA,A,DET,W,9,2,NA,4.5,N,NA,2018,DET,LAA,2,9,5,29,2018-05-29
56,LAA,A,DET,L,1,6,NA,4.5,N,NA,2018,DET,LAA,6,1,5,30,2018-05-30
57,LAA,A,DET,L,2,6,NA,5.5,D,NA,2018,DET,LAA,6,2,5,31,2018-05-31
58,LAA,H,TEX,W,6,0,NA,5.5,N,NA,2018,LAA,TEX,6,0,6,1,2018-06-01
59,LAA,H,TEX,L,2,3,10,5.5,N,NA,2018,LAA,TEX,2,3,6,2,2018-06-02
60,LAA,H,TEX,W,3,1,NA,5.5,D,NA,2018,LAA,TEX,3,1,6,3,2018-06-03
61,LAA,H,KCR,W,9,6,NA,5.0,N,NA,2018,LAA,KCR,9,6,6,4,2018-06-04
62,LAA,H,KCR,W,1,0,NA,5.0,N,NA,2018,LAA,KCR,1,0,6,5,2018-06-05
63,LAA,H,KCR,W,4,3,NA,4.0,N,NA,2018,LAA,KCR,4,3,6,6,2018-06-06
64,LAA,A,MIN,W,4,2,NA,4.5,N,NA,2018,MIN,LAA,2,4,6,8,2018-06-08
65,LAA,A,MIN,W,2,1,NA,3.5,N,NA,2018,MIN,LAA,1,2,6,9,2018-06-09
66,LAA,A,MIN,L,5,7,NA,4.5,D,NA,2018,MIN,LAA,7,5,6,10,2018-06-10
67,LAA,A,SEA,L,3,5,NA,5.5,N,NA,2018,SEA,LAA,5,3,6,11,2018-06-11
68,LAA,A,SEA,L,3,6,NA,6.5,N,NA,2018,SEA,LAA,6,3,6,12,2018-06-12
69,LAA,A,SEA,L-wo,6,8,NA,7.5,D,NA,2018,SEA,LAA,8,6,6,13,2018-06-13
70,LAA,A,OAK,W,8,4,NA,7.5,N,NA,2018,OAK,LAA,4,8,6,15,2018-06-15
71,LAA,A,OAK,L,4,6,NA,8.5,D,NA,2018,OAK,LAA,6,4,6,16,2018-06-16
72,LAA,A,OAK,L-wo,5,6,11,9.5,D,NA,2018,OAK,LAA,6,5,6,17,2018-06-17
73,LAA,H,ARI,L,4,7,NA,10.5,N,NA,2018,LAA,ARI,4,7,6,18,2018-06-18
74,LAA,H,ARI,W,5,4,NA,9.5,N,NA,2018,LAA,ARI,5,4,6,19,2018-06-19
75,LAA,H,TOR,W,8,5,NA,9.5,N,NA,2018,LAA,TOR,8,5,6,21,2018-06-21
76,LAA,H,TOR,W,2,1,NA,8.5,N,NA,2018,LAA,TOR,2,1,6,22,2018-06-22
77,LAA,H,TOR,L,1,4,NA,9.5,N,NA,2018,LAA,TOR,1,4,6,23,2018-06-23
78,LAA,H,TOR,L,6,7,10,10.5,D,NA,2018,LAA,TOR,6,7,6,24,2018-06-24
79,LAA,A,KCR,L,0,2,NA,10.5,D,2018-04-15 (Rain),2018,KCR,LAA,2,0,6,25,2018-06-25
80,LAA,A,BOS,L,1,9,NA,11.5,N,NA,2018,BOS,LAA,9,1,6,26,2018-06-26
81,LAA,A,BOS,L,6,9,NA,12.5,N,NA,2018,BOS,LAA,9,6,6,27,2018-06-27
82,LAA,A,BOS,L,2,4,NA,13.5,N,NA,2018,BOS,LAA,4,2,6,28,2018-06-28
83,LAA,A,BAL,W,7,1,NA,12.5,N,NA,2018,BAL,LAA,1,7,6,29,2018-06-29
84,LAA,A,BAL,W,6,2,NA,11.5,D,NA,2018,BAL,LAA,2,6,6,30,2018-06-30
85,LAA,A,BAL,L,2,8,NA,11.5,D,NA,2018,BAL,LAA,8,2,7,1,2018-07-01
86,LAA,A,SEA,L,1,4,NA,12.5,N,NA,2018,SEA,LAA,4,1,7,3,2018-07-03
87,LAA,A,SEA,W,7,4,NA,12.5,D,NA,2018,SEA,LAA,4,7,7,4,2018-07-04
88,LAA,A,SEA,L,1,4,NA,13.5,N,NA,2018,SEA,LAA,4,1,7,5,2018-07-05
89,LAA,H,LAD,W-wo,3,2,NA,13.5,N,NA,2018,LAA,LAD,3,2,7,6,2018-07-06
90,LAA,H,LAD,L,1,3,NA,14.5,D,NA,2018,LAA,LAD,1,3,7,7,2018-07-07
91,LAA,H,LAD,W,4,3,NA,14.5,N,NA,2018,LAA,LAD,4,3,7,8,2018-07-08
92,LAA,H,SEA,W,9,3,NA,14.0,N,NA,2018,LAA,SEA,9,3,7,10,2018-07-10
93,LAA,H,SEA,L,0,3,NA,14.0,N,NA,2018,LAA,SEA,0,3,7,11,2018-07-11
94,LAA,H,SEA,W,11,2,NA,13.0,N,NA,2018,LAA,SEA,11,2,7,12,2018-07-12
95,LAA,A,LAD,L,2,3,NA,14.0,N,NA,2018,LAD,LAA,3,2,7,13,2018-07-13
96,LAA,A,LAD,W,5,4,10,14.0,D,NA,2018,LAD,LAA,4,5,7,14,2018-07-14
97,LAA,A,LAD,L,3,5,NA,14.0,D,NA,2018,LAD,LAA,5,3,7,15,2018-07-15
98,LAA,H,HOU,L,1,3,NA,15.0,N,NA,2018,LAA,HOU,1,3,7,20,2018-07-20
99,LAA,H,HOU,L,0,7,NA,16.0,D,NA,2018,LAA,HOU,0,7,7,21,2018-07-21
100,LAA,H,HOU,W,14,5,NA,15.0,D,NA,2018,LAA,HOU,14,5,7,22,2018-07-22
101,LAA,H,CHW,L,3,5,NA,15.5,N,NA,2018,LAA,CHW,3,5,7,23,2018-07-23
102,LAA,H,CHW,L,2,4,NA,16.5,N,NA,2018,LAA,CHW,2,4,7,24,2018-07-24
103,LAA,H,CHW,W,11,3,NA,15.5,N,NA,2018,LAA,CHW,11,3,7,25,2018-07-25
104,LAA,H,CHW,W,12,8,NA,15.0,D,NA,2018,LAA,CHW,12,8,7,26,2018-07-26
105,LAA,H,SEA,W-wo,4,3,10,14.0,N,NA,2018,LAA,SEA,4,3,7,27,2018-07-27
106,LAA,H,SEA,W,11,5,NA,13.0,N,NA,2018,LAA,SEA,11,5,7,28,2018-07-28
107,LAA,H,SEA,L,5,8,NA,13.0,D,NA,2018,LAA,SEA,5,8,7,29,2018-07-29
108,LAA,A,TBR,L,6,10,NA,13.5,N,NA,2018,TBR,LAA,10,6,7,31,2018-07-31
109,LAA,A,TBR,L,2,7,NA,14.5,N,NA,2018,TBR,LAA,7,2,8,1,2018-08-01
110,LAA,A,TBR,L,2,4,NA,15.0,D,NA,2018,TBR,LAA,4,2,8,2,2018-08-02
111,LAA,A,CLE,W,7,4,NA,15.0,N,NA,2018,CLE,LAA,4,7,8,3,2018-08-03
112,LAA,A,CLE,L,0,3,NA,16.0,N,NA,2018,CLE,LAA,3,0,8,4,2018-08-04
113,LAA,A,CLE,L,3,4,NA,16.0,D,NA,2018,CLE,LAA,4,3,8,5,2018-08-05
114,LAA,H,DET,W,6,2,NA,16.0,N,NA,2018,LAA,DET,6,2,8,6,2018-08-06
115,LAA,H,DET,W,11,5,NA,16.0,N,NA,2018,LAA,DET,11,5,8,7,2018-08-07
116,LAA,H,DET,W,6,0,NA,15.5,D,NA,2018,LAA,DET,6,0,8,8,2018-08-08
117,LAA,H,OAK,W,4,3,NA,14.0,N,NA,2018,LAA,OAK,4,3,8,10,2018-08-10
118,LAA,H,OAK,L,0,7,NA,14.0,N,NA,2018,LAA,OAK,0,7,8,11,2018-08-11
119,LAA,H,OAK,L,7,8,NA,14.0,D,NA,2018,LAA,OAK,7,8,8,12,2018-08-12
120,LAA,A,SDP,W,6,3,10,13.5,N,NA,2018,SDP,LAA,3,6,8,13,2018-08-13
121,LAA,A,SDP,W,7,3,NA,12.5,N,NA,2018,SDP,LAA,3,7,8,14,2018-08-14
122,LAA,A,SDP,W,3,2,NA,12.5,N,NA,2018,SDP,LAA,2,3,8,15,2018-08-15
123,LAA,A,TEX,L,6,8,NA,13.0,N,NA,2018,TEX,LAA,8,6,8,16,2018-08-16
124,LAA,A,TEX,L,4,6,NA,13.0,N,NA,2018,TEX,LAA,6,4,8,17,2018-08-17
125,LAA,A,TEX,W,11,7,NA,12.0,N,NA,2018,TEX,LAA,7,11,8,18,2018-08-18
126,LAA,A,TEX,L,2,4,NA,13.0,D,NA,2018,TEX,LAA,4,2,8,19,2018-08-19
127,LAA,A,ARI,L-wo,4,5,NA,13.5,N,NA,2018,ARI,LAA,5,4,8,21,2018-08-21
128,LAA,A,ARI,L,1,5,NA,14.5,N,NA,2018,ARI,LAA,5,1,8,22,2018-08-22
129,LAA,H,HOU,L,3,9,NA,15.5,N,NA,2018,LAA,HOU,3,9,8,24,2018-08-24
130,LAA,H,HOU,L,3,8,NA,16.5,N,NA,2018,LAA,HOU,3,8,8,25,2018-08-25
131,LAA,H,HOU,L,1,3,NA,17.5,D,NA,2018,LAA,HOU,1,3,8,26,2018-08-26
132,LAA,H,COL,W,10,7,NA,17.5,N,NA,2018,LAA,COL,10,7,8,27,2018-08-27
133,LAA,H,COL,L,2,3,NA,17.5,N,NA,2018,LAA,COL,2,3,8,28,2018-08-28
134,LAA,A,HOU,W,5,2,NA,17.0,N,NA,2018,HOU,LAA,2,5,8,30,2018-08-30
135,LAA,A,HOU,W,3,0,NA,16.0,N,NA,2018,HOU,LAA,0,3,8,31,2018-08-31
136,LAA,A,HOU,L,3,7,NA,17.0,N,NA,2018,HOU,LAA,7,3,9,1,2018-09-01
137,LAA,A,HOU,L,2,4,NA,18.0,N,NA,2018,HOU,LAA,4,2,9,2,2018-09-02
138,LAA,A,TEX,W,3,1,NA,18.0,N,NA,2018,TEX,LAA,1,3,9,3,2018-09-03
139,LAA,A,TEX,L,2,4,NA,19.0,N,NA,2018,TEX,LAA,4,2,9,4,2018-09-04
140,LAA,A,TEX,W,9,3,NA,19.0,N,NA,2018,TEX,LAA,3,9,9,5,2018-09-05
141,LAA,A,CHW,W,5,2,NA,19.0,N,NA,2018,CHW,LAA,2,5,9,7,2018-09-07
142,LAA,A,CHW,W,12,3,NA,19.0,N,NA,2018,CHW,LAA,3,12,9,8,2018-09-08
143,LAA,A,CHW,W,1,0,NA,18.0,D,NA,2018,CHW,LAA,0,1,9,9,2018-09-09
144,LAA,H,TEX,L,2,5,NA,19.0,N,NA,2018,LAA,TEX,2,5,9,10,2018-09-10
145,LAA,H,TEX,W,1,0,NA,19.0,N,NA,2018,LAA,TEX,1,0,9,11,2018-09-11
146,LAA,H,TEX,W,8,1,NA,19.0,N,NA,2018,LAA,TEX,8,1,9,12,2018-09-12
147,LAA,H,SEA,L,2,8,NA,19.5,N,NA,2018,LAA,SEA,2,8,9,13,2018-09-13
148,LAA,H,SEA,L,0,5,NA,19.5,N,NA,2018,LAA,SEA,0,5,9,14,2018-09-14
149,LAA,H,SEA,L,5,6,NA,20.5,N,NA,2018,LAA,SEA,5,6,9,15,2018-09-15
150,LAA,H,SEA,W,4,3,NA,20.5,D,NA,2018,LAA,SEA,4,3,9,16,2018-09-16
151,LAA,A,OAK,W,9,7,NA,20.0,N,NA,2018,OAK,LAA,7,9,9,18,2018-09-18
152,LAA,A,OAK,L,0,10,NA,20.0,N,NA,2018,OAK,LAA,10,0,9,19,2018-09-19
153,LAA,A,OAK,L,3,21,NA,20.5,D,NA,2018,OAK,LAA,21,3,9,20,2018-09-20
154,LAA,A,HOU,L,3,11,NA,21.5,N,NA,2018,HOU,LAA,11,3,9,21,2018-09-21
155,LAA,A,HOU,L,5,10,NA,22.5,N,NA,2018,HOU,LAA,10,5,9,22,2018-09-22
156,LAA,A,HOU,L,2,6,NA,23.5,D,NA,2018,HOU,LAA,6,2,9,23,2018-09-23
157,LAA,H,TEX,W-wo,5,4,11,23.5,N,NA,2018,LAA,TEX,5,4,9,24,2018-09-24
158,LAA,H,TEX,W,4,1,NA,23.5,N,NA,2018,LAA,TEX,4,1,9,25,2018-09-25
159,LAA,H,TEX,W,3,2,NA,22.5,N,NA,2018,LAA,TEX,3,2,9,26,2018-09-26
160,LAA,H,OAK,W,8,5,NA,22.5,N,NA,2018,LAA,OAK,8,5,9,28,2018-09-28
161,LAA,H,OAK,L,2,5,NA,24.0,N,NA,2018,LAA,OAK,2,5,9,29,2018-09-29
162,LAA,H,OAK,W-wo,5,4,NA,23.0,D,NA,2018,LAA,OAK,5,4,9,30,2018-09-30
1,ARI,H,COL,W,8,2,NA,Tied,N,NA,2018,ARI,COL,8,2,3,29,2018-03-29
2,ARI,H,COL,W,9,8,NA,Tied,N,NA,2018,ARI,COL,9,8,3,30,2018-03-30
3,ARI,H,COL,L,1,2,NA,Tied,N,NA,2018,ARI,COL,1,2,3,31,2018-03-31
4,ARI,H,LAD,W-wo,8,7,15,up 1.0,N,NA,2018,ARI,LAD,8,7,4,2,2018-04-02
5,ARI,H,LAD,W,6,1,NA,up 2.0,N,NA,2018,ARI,LAD,6,1,4,3,2018-04-03
6,ARI,H,LAD,W,3,0,NA,up 2.0,D,NA,2018,ARI,LAD,3,0,4,4,2018-04-04
7,ARI,A,STL,W,3,1,NA,up 2.0,N,NA,2018,STL,ARI,1,3,4,5,2018-04-05
8,ARI,A,STL,L,3,5,NA,up 1.5,D,NA,2018,STL,ARI,5,3,4,7,2018-04-07
9,ARI,A,STL,W,4,1,NA,up 2.5,D,NA,2018,STL,ARI,1,4,4,8,2018-04-08
10,ARI,A,SFG,W,2,1,NA,up 3.5,N,NA,2018,SFG,ARI,1,2,4,9,2018-04-09
11,ARI,A,SFG,L-wo,4,5,NA,up 2.5,N,NA,2018,SFG,ARI,5,4,4,10,2018-04-10
12,ARI,A,SFG,W,7,3,NA,up 3.5,D,NA,2018,SFG,ARI,3,7,4,11,2018-04-11
13,ARI,A,LAD,W,8,7,NA,up 3.0,N,NA,2018,LAD,ARI,7,8,4,13,2018-04-13
14,ARI,A,LAD,W,9,1,NA,up 4.0,N,NA,2018,LAD,ARI,1,9,4,14,2018-04-14
15,ARI,A,LAD,L,2,7,NA,up 3.0,D,NA,2018,LAD,ARI,7,2,4,15,2018-04-15
16,ARI,H,SFG,W,1,0,NA,up 2.5,N,NA,2018,ARI,SFG,1,0,4,17,2018-04-17
17,ARI,H,SFG,L,3,4,10,up 2.5,N,NA,2018,ARI,SFG,3,4,4,18,2018-04-18
18,ARI,H,SFG,W,3,1,NA,up 3.0,N,NA,2018,ARI,SFG,3,1,4,19,2018-04-19
19,ARI,H,SDP,L,1,4,NA,up 3.0,N,NA,2018,ARI,SDP,1,4,4,20,2018-04-20
20,ARI,H,SDP,W,6,2,NA,up 3.0,N,NA,2018,ARI,SDP,6,2,4,21,2018-04-21
21,ARI,H,SDP,W,4,2,NA,up 4.0,D,NA,2018,ARI,SDP,4,2,4,22,2018-04-22
22,ARI,A,PHI,W,8,4,NA,up 4.5,N,NA,2018,PHI,ARI,4,8,4,24,2018-04-24
23,ARI,A,PHI,L,3,5,NA,up 3.5,N,NA,2018,PHI,ARI,5,3,4,25,2018-04-25
24,ARI,A,PHI,W,8,2,NA,up 4.0,D,NA,2018,PHI,ARI,2,8,4,26,2018-04-26
25,ARI,A,WSN,W,5,4,NA,up 4.0,N,NA,2018,WSN,ARI,4,5,4,27,2018-04-27
26,ARI,A,WSN,W,4,3,10,up 5.0,D,NA,2018,WSN,ARI,3,4,4,28,2018-04-28
27,ARI,A,WSN,L,1,3,NA,up 5.0,D,NA,2018,WSN,ARI,3,1,4,29,2018-04-29
28,ARI,H,LAD,W,8,5,NA,up 5.5,N,NA,2018,ARI,LAD,8,5,4,30,2018-04-30
29,ARI,H,LAD,W,4,3,NA,up 6.0,N,NA,2018,ARI,LAD,4,3,5,1,2018-05-01
30,ARI,H,LAD,L,1,2,NA,up 5.0,N,NA,2018,ARI,LAD,1,2,5,2,2018-05-02
31,ARI,H,LAD,L,2,5,NA,up 4.5,D,NA,2018,ARI,LAD,2,5,5,3,2018-05-03
32,ARI,H,HOU,L,0,8,NA,up 3.5,N,NA,2018,ARI,HOU,0,8,5,4,2018-05-04
33,ARI,H,HOU,W-wo,4,3,NA,up 3.5,N,NA,2018,ARI,HOU,4,3,5,5,2018-05-05
34,ARI,H,HOU,W,3,1,NA,up 3.5,D,NA,2018,ARI,HOU,3,1,5,6,2018-05-06
35,ARI,A,LAD,W,8,5,12,up 3.5,N,NA,2018,LAD,ARI,5,8,5,8,2018-05-08
36,ARI,A,LAD,L,3,6,NA,up 3.5,N,NA,2018,LAD,ARI,6,3,5,9,2018-05-09
37,ARI,H,WSN,L,1,2,11,up 3.5,N,NA,2018,ARI,WSN,1,2,5,10,2018-05-10
38,ARI,H,WSN,L,1,3,NA,up 3.5,N,NA,2018,ARI,WSN,1,3,5,11,2018-05-11
39,ARI,H,WSN,L,1,2,NA,up 2.5,D,NA,2018,ARI,WSN,1,2,5,12,2018-05-12
40,ARI,H,WSN,L,4,6,NA,up 2.5,N,NA,2018,ARI,WSN,4,6,5,13,2018-05-13
41,ARI,H,MIL,L,2,7,NA,up 1.5,N,NA,2018,ARI,MIL,2,7,5,14,2018-05-14
42,ARI,H,MIL,W,2,1,NA,up 2.5,N,NA,2018,ARI,MIL,2,1,5,15,2018-05-15
43,ARI,H,MIL,L,2,8,NA,up 2.0,D,NA,2018,ARI,MIL,2,8,5,16,2018-05-16
44,ARI,A,NYM,L,1,3,NA,up 0.5,N,NA,2018,NYM,ARI,3,1,5,18,2018-05-18
45,ARI,A,NYM,L-wo,4,5,NA,up 0.5,N,NA,2018,NYM,ARI,5,4,5,19,2018-05-19
46,ARI,A,NYM,L,1,4,NA,up 0.5,D,NA,2018,NYM,ARI,4,1,5,20,2018-05-20
47,ARI,A,MIL,L,2,4,NA,0.5,N,NA,2018,MIL,ARI,4,2,5,21,2018-05-21
48,ARI,A,MIL,L,0,1,NA,0.5,N,NA,2018,MIL,ARI,1,0,5,22,2018-05-22
49,ARI,A,MIL,L,2,9,NA,0.5,D,NA,2018,MIL,ARI,9,2,5,23,2018-05-23
50,ARI,A,OAK,W,7,1,NA,0.5,N,NA,2018,OAK,ARI,1,7,5,25,2018-05-25
