key_mlbam,key_fangraphs,name
596271,11121,Casey Lawrence
596074,17987,Bobby Poyner
592170,11502,Parker Bridwell
518716,7396,Dillon Gee
642547,18679,Freddy Peralta
665621,20430,Rony García
670329,20023,Rico Garcia
663773,26304,Bryan Hoeing
462382,3656,Jim Johnson
669212,20203,Eli Morgan
475243,9884,Travis Wood
686752,26221,Ryan Pepiot
676879,23550,Aaron Ashby
476589,9029,Adam Warren
663567,17969,Peter Lambert
605483,13543,Blake Snell
657044,16647,Ryan Thompson
605541,12586,Mike Wright
669060,19990,Bryse Wilson
642770,17292,Javy Guerra
664141,17578,JT Brubaker
572788,10770,Tyler Cravy
434643,2586,Wandy Rodriguez
572140,10190,Tyler Skaggs
672282,27468,Reid Detmers
664126,17998,Pete Fairbanks
592314,10811,Mike Foltynewicz
572193,10291,Ryan Tepera
592815,13485,Sam Tuivailala
621366,16350,Ryan Borucki
621107,13774,Zach Eflin
543903,3993,Allen Webster
461829,7448,Gio Gonzalez
596057,13475,Daniel Norris
453311,5705,Tim Lincecum
663485,21461,Cole Sands
607309,12675,Phil Klein
547007,14165,Robert Whalen
592499,16731,Artie Lewicki
607644,16269,John Means
430661,8600,Dustin McGowan
661440,20080,Mauricio Llovera
501992,12638,Nate Karns
663372,21446,Ryan Feltner
622795,14391,Yohander Méndez
628711,14765,Julio Urías
664299,17606,Cristian Javier
608665,15514,Kendall Graveman
607162,13674,Onelki García
548337,12905,Logan Verrett
570810,11266,Lisalverto Bonilla
608717,13761,Chris Stratton
430580,2155,Alfredo Simon
592614,15627,Dillon Overton
656257,16631,Jeff Brigham
571787,7725,David Holmberg
607536,16256,Kyle Freeland
675921,23252,Spencer Howard
594742,13560,Alec Asher
594902,14932,Ben Lively
666201,26410,Alek Manoah
456051,3292,Hector Noesí
643493,15290,Austin Pruitt
429719,1841,Edwin Jackson
694813,27792,Gavin Stone
656420,16610,J. P. Feyereisen
521655,5257,Wilmer Font
672391,20061,Kaleb Ort
541640,10314,Erasmo Ramírez
150302,105,Jason Marquis
570714,14099,César Vargas
600944,17418,David Paulino
598264,12863,Matt Barnes
666374,25756,Matt Brash
467094,1478,Felix Doubront
474668,2540,Eric Surkamp
600917,14524,José Leclerc
656731,21318,Tylor Megill
407822,2047,Jorge De La Rosa
674003,27597,Cody Bradford
543408,6570,Tom Koehler
668948,20555,Kirk McCarty
642003,15232,Cody Reed
571539,13276,Matt Carasiti
642232,16502,Ryan Yarbrough
621368,18325,Taylor Hearn
453214,8185,Steven Wright
665795,21690,Edward Cabrera
677651,23735,Luis Garcia
592767,11760,Drew Smyly
622786,16300,Jesus Tinoco
656818,18376,Connor Overton
676606,20395,Nick Margevicius
542947,7803,Richard Bleier
680573,24494,Simeon Woods Richardson
621209,13849,Jon Moscot
605138,19243,Wes Benjamin
605276,16130,David Hess
681857,24968,Reese Olson
656685,17369,Brett Martin
635903,18820,Chris Rowley
626929,15906,Lewis Thorpe
448179,4806,Rich Hill
434672,4544,Chris Smith
571057,13144,Frank Garces
659275,17186,Dinelson Lamet
592464,11618,Mike Kickham
666154,27488,Karl Kauffmann
545346,11468,Zach Lee
493159,13046,Tsuyoshi Wada
622088,16233,Tejay Antone
664192,19320,Joey Lucchesi
502171,6562,Alex Cobb
571035,13331,William Cuevas
622491,15689,Luis Castillo
647336,18383,Michael Soroka
669459,20515,Kyle Nelson
668338,19976,Tyson Miller
646242,20298,Jhonathan Diaz
664042,18600,Travis Lakins
453562,4153,Jake Arrieta
606162,15655,Yefry Ramírez
570663,11801,Hansel Robles
643410,15551,Mark Leiter
468504,2608,Jhoulys Chacín
534910,13287,Jesse Hahn
607067,12317,Colin Rea
666142,21846,Cole Ragans
621199,13528,Matthew Bowman
435221,4662,Brandon McCarthy
502190,10130,Mike Leake
664045,18361,Thomas Eshelman
656849,20302,David Peterson
571927,13361,Steven Matz
677976,23798,Randy Dobnak
518774,11713,Matt Harvey
571882,13133,Derek Law
607237,14375,Amir Garrett
621389,14361,Ty Blach
543391,9174,Casey Kelly
643230,15291,Steven Brault
518567,7312,Josh Collmenter
572362,10354,Robbie Erlin
456713,1246,Matt Bush
572070,9784,Garrett Richards
666200,19959,Jesús Luzardo
533167,4776,Matt Shoemaker
658648,18864,Pedro Avila
676440,30134,Tanner Bibee
641302,17735,Tyler Alexander
474463,8223,Brett Anderson
592836,11836,Taijuan Walker
642098,15200,Glenn Sparkman
542674,5876,Gonzalez Germen
676720,23465,Tommy Romero
621111,19374,Walker Buehler
650895,17496,Diego Castillo
543184,7942,Christian Friedrich
547942,27458,Kwang Hyun Kim
543699,8753,Tanner Roark
622490,14399,Robinson Leyer
623451,14420,Jackson Stephens
661563,21052,Luis Gil
573186,13431,Marcus Stroman
666120,19951,Ian Anderson
573064,9674,Vidal Nuño
656798,17775,Jacob Nix
502043,10123,Kyle Gibson
545404,8851,Brandon Beachy
605397,12970,Joe Musgrove
621141,13804,Walker Lockett
642701,17878,Dennis Santana
445170,9943,Todd Redmond
502166,4420,Brad Mills
136600,769,Bruce Chen
592533,12182,Cody Martin
606424,18282,Jarlín García
664856,18135,Chance Adams
657649,27517,Jared Koenig
501381,5372,Michael Pineda
665733,20383,Antonio Santos
543135,9132,Nathan Eovaldi
669424,19541,Jimmy Lambert
666159,20369,Matt Manning
605894,14697,Severino González
641816,16358,Tyler Mahle
594798,10954,Jacob deGrom
682051,25097,Garrett Hill
676477,20191,Garrett Whitlock
543294,12049,Kyle Hendricks
542953,8490,Buddy Boshers
657508,20206,Mike Baumann
667498,19191,Robert Dugger
650893,17490,Génesis Cabrera
593423,14309,Frankie Montas
670174,22387,Josh Winckowski
669022,22201,MacKenzie Gore
571945,9803,Miles Mikolas
664641,17526,Aríel Miranda
518397,10591,Scott Alexander
656887,17034,Sean Reid-Foley
451085,2646,Brian Matusz
666205,20167,Kyle Muller
700363,29960,AJ Smith-Shawver
682171,25174,Penn Murfee
664682,18105,Ryan Meisinger
518560,8037,Paul Clemens
668933,27552,Graham Ashcraft
641927,21224,Bailey Ober
571527,11176,David Buchanan
592791,11674,Jameson Taillon
669920,19666,Jason Alexander
543734,9895,Chris Rusin
669456,19427,Shane Bieber
643327,14862,Zack Godley
677960,23796,Ryan Weathers
543219,12781,Sean Gilmartin
657514,16835,Brennan Bernardino
502327,4026,Héctor Santiago
460283,7841,Jerry Blevins
663436,21448,Davis Martin
665620,20276,Deivi García
598287,12800,Noé Ramirez
660813,20367,Brusdar Graterol
668873,26213,Caleb Kilian
621381,13799,Matt Strahm
657024,16587,Erik Swanson
594580,14874,Sam Moll
657746,21390,Joe Ryan
641712,19206,Dakota Hudson
657277,17995,Logan Webb
663947,26231,Tyler Holton
595928,16128,John Curtiss
430912,4732,Matt Cain
472610,6984,Luis García
458708,9388,Josh Tomlin
592866,16977,Trevor Williams
594577,15451,Mike Mayers
543698,10620,Donn Roach
668881,22182,Hunter Greene
606160,12760,Rafael Montero
642607,15821,Dario Agrazal
641501,15126,Tyler Danish
622217,13818,Chris O'Grady
276520,978,Bronson Arroyo
452718,6230,Kyle Kendrick
656725,16317,Alex McRae
683769,25636,Hunter Gaddis
643338,15552,Chad Green
640464,15502,Kohl Stewart
527048,6902,Martín Pérez
672582,22717,Angel Zerpa
543521,7531,Collin McHugh
660494,17679,Rogelio Armenteros
673258,20100,Michel Báez
450306,8044,Jason Vargas
592789,11762,Noah Syndergaard
605200,13183,Zach Davies
608328,15036,Chase De Jong
669713,27581,Hayden Wesneski
